;en;es
Start Game;Start Game;Iniciar juego
Select Level;Select Level;Seleccionar nivel
Choose a level or algorithm;Choose a level or algorithm;Elige un nivel (algoritmo)
Skip;Skip;Saltar
Next;Next (SPACE);Siguiente (ESPACIO)
Yes;Yes;Sí
No;No;No
STORYMODE_DIALOGUE1;"Ship: Hello? DCC Station...
Can you hear me? Copy...
We have not found any red pandas yet...";"Nave: ¿Alo? Estación DCC...
¿Pueden oirme?
No hemos encontrado ningún panda rojo todavía..."
STORYMODE_DIALOGUE2;"Station: Yes; we can barely hear you...
Just keep searching. 
We suspect there is a red panda in the next galaxy.";"Estación DCC: Sí. Apenas  podemos oírte...
Solo sigue buscando. 
Tenemos pistas de que hay un panda rojo en la siguiente galaxia."
STORYMODE_DIALOGUE3;"Ship: There is a problem though... 
Our fuel levels are nearly depleted.
We are unable to proceed with our rescue task.";"Nave: Pero hay un problema... 
Casi se nos acaba el combustible.
No podemos seguir con la misión de rescate."
STORYMODE_DIALOGUE4;"Station: Proceed to deactivate the AI copilot.
It wastes too much energy. Just use a  Breadth First Search algorithm.";"Estación DCC: Procedan a desactivar el copiloto de IA.
Gasta mucha energía, solo usa un algoritmo de Breadth First Search."
STORYMODE_DIALOGUE5;Ship: Breadth First ... what?;Nave: Be efe... qué?
STORYMODE_DIALOGUE6;"Station: I will send you the instructions. Just follow them. Ok?
The red pandas need us, this is serious.";"Estación DCC: Te enviaré las instrucciones. Solo síguelas. OK?
Los pandas rojos nos necesitan. Esto es serio."
STORYMODE_DIALOGUE7;Ship: That's why I am here... Okay, let's go!;Nave: Para eso estoy aquí... Bueno, vamos!
FIRST_TUTORIAL_DIALOGUE1;"Here are some red pandas expecting to be rescued.
Visit each planet to rescue the red pandas in those planets";"Aquí hay pandas rojos esperando ser rescatados.
Visita cada planeta para rescatar los pandas rojos en esos planetas."
FIRST_TUTORIAL_DIALOGUE2;Congratulations! You saved a little red panda!;¡Felicidades! ¡Has salvado un pandita rojo!
FIRST_TUTORIAL_DIALOGUE3;You are ready to go to the next level and rescue more pandas!;¡Ve al próximo nivel y salva más pandas!
